,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.4956,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['today', 'mark', 'year', 'national', 'day', 'reflection', 'visit']"
1,1,1.0,0.5861,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['use', 'play', 'fortnite', 'lot', 'android', 'covid', 'lockdown', 'chapter', 'revenge', 'good']"
2,2,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
3,3,1.0,0.3207,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['time', 'change', 'course']"
4,4,3.0,0.5098,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['feel', 'dump', 'lockdown', 'here', 'some_tip', 'keep', 'top', 'mental_health']"
5,5,3.0,0.9111,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['speak', 'truth', 'sheep', 'covid', 'shoot', 'faucilied_faucifile', 'agenda_klausschw']"
6,6,0.0,0.7946,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['book', 'prove', 'virus', 'intentional', 'publication', 'start', 'wasn']"
7,7,0.0,0.9439,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid']"
8,8,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
9,9,0.0,0.9439,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid']"
10,10,1.0,0.7732,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['real', 'reason', 'lockdown', 'profit', 'globalist', 'amp', 'goal']"
11,11,3.0,0.5379,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['reminisce', 'past', 'concert', 'festival', 'attend', 'uncertainty', 'length', 'covid', 'lockdown']"
12,12,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
13,13,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
14,14,0.0,0.9491,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'many', 'move', 'on', 'long', 'covid', 'life']"
15,15,3.0,0.7792,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['wasn', 've', 'mental_health', 'crisis', 'pandemic', 'stay', 'home_order']"
